params,sse,pseudo_accuracy
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 0}",3.5625,0.29375000000000007
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.6225,0.2930833333333334
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.2575,0.29713888888888895
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 0}",3.2475,0.29725000000000007
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.0475,0.2994722222222223
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",2.9425,0.3006388888888889
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.5825,0.2935277777777778
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.6024999999999996,0.2933055555555556
"{'temperature': 0.2, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.3275,0.2963611111111112
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 0}",3.1374999999999997,0.29847222222222225
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.1574999999999998,0.29825000000000007
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.3174999999999994,0.29647222222222225
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 0}",2.9675,0.30036111111111113
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.2725,0.29697222222222225
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",3.3375,0.29625
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.5375,0.29402777777777783
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.2674999999999996,0.29702777777777783
"{'temperature': 0.2, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.0675000000000003,0.29925
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 0}",3.3775,0.2958055555555556
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.3125,0.29652777777777783
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.4225,0.2953055555555556
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 0}",3.0774999999999997,0.2991388888888889
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",2.9575,0.30047222222222225
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",3.4175,0.2953611111111112
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.2425,0.29730555555555566
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.2525,0.2971944444444445
"{'temperature': 0.2, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",2.7825,0.3024166666666667
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 0}",3.2775000000000003,0.29691666666666666
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.3275,0.2963611111111112
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.3675,0.2959166666666667
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 0}",2.8924999999999996,0.3011944444444445
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.1375,0.29847222222222225
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",3.3275,0.2963611111111112
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.1975,0.2978055555555556
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.1175,0.2986944444444445
"{'temperature': 0.8, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.4625,0.2948611111111112
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 0}",3.5425000000000004,0.29397222222222225
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.5275000000000003,0.2941388888888889
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.4625,0.29486111111111113
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 0}",3.4925000000000006,0.29452777777777783
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.0575000000000006,0.299361111111111
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",2.8775,0.3013611111111112
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.2624999999999997,0.29708333333333337
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.3874999999999997,0.29569444444444454
"{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.5574999999999997,0.2938055555555556
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 0}",2.9475000000000007,0.3005833333333333
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.1175,0.29869444444444443
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 1.0}",2.8525,0.30163888888888896
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 0}",3.7275,0.29191666666666666
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.9175000000000004,0.28980555555555554
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",4.147500000000001,0.28725000000000006
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.1925000000000003,0.2978611111111112
